"","CAP1","CAP2","ID2","ID","Lat","TL","Sex","SpeciesExt","mtDNA","Species"
"K31",-0.359693463042399,1.14470802931393,"K31","K31",NA,69.5,"M","A.inodorus","AI","A.inodorus"
"K32",-0.496678554835556,2.38436724357488,"K32","K32",NA,73,"M","A.inodorus","AI","A.inodorus"
"K33",-0.380430180669258,-0.016011241004116,"K33","K33",NA,62.5,"F","A.inodorus","AI","A.inodorus"
"K35",-0.351711884155145,1.16686635318743,"K35","K35",NA,74,"F","A.inodorus","AI","A.inodorus"
"K36",-0.187396071167927,-1.69229980416593,"K36","K36",NA,75,"M","A.inodorus","AI","A.inodorus"
"K37",-0.401480124009494,1.03315842775163,"K37","K37",22.7,68,"M","A.inodorus","AI","A.inodorus"
"K38",-0.275180752970837,0.341065522739936,"K38","K38",20.82,59,"F","A.inodorus","AI","A.inodorus"
"K39",0.198139178242392,0.707990510760815,"K39","K39",20.82,51,"F","A.inodorus","AI","A.inodorus"
"K40",-0.428773721557664,1.29701940143346,"K40","K40",20.82,53,"F","A.inodorus","AI","A.inodorus"
"K42",-0.207036377553481,0.564077368030044,"K42","K42",20.82,44.5,"F","A.inodorus","AI","A.inodorus"
"K43",-0.0637862004440521,0.769601948971556,"K43","K43",20.82,60.5,"M","A.inodorus","AI","A.inodorus"
"K44",0.245050226889749,-0.554120570092534,"K44","K44",20.82,43.5,"F","A.inodorus","AI","A.inodorus"
"K45",0.178099931362846,1.24978449181508,"K45","K45",20.82,50,"F","A.inodorus","AI","A.inodorus"
"K46",-0.174853873513384,-0.873103028637647,"K46","K46",20.82,50,"M","A.inodorus","AI","A.inodorus"
"K47",-0.122611080237152,-0.108695896542076,"K47","K47",20.82,47,"F","A.inodorus","AI","A.inodorus"
"K48",-0.166283366508317,1.2054572895166,"K48","K48",20.82,40,"M","A.inodorus","AI","A.inodorus"
"K49",-0.0306206677429327,0.670904290347077,"K49","K49",20.82,53.5,"F","A.inodorus","AI","A.inodorus"
"K5",-0.134565935502833,-0.461130932966173,"K5","K5",20.82,42,"M","A.inodorus","AI","A.inodorus"
"K50",-0.26591049273689,-0.430577877121794,"K50","K50",20.82,54,"F","A.inodorus","AI","A.inodorus"
"K51",-0.1149960009248,0.779460003905933,"K51","K51",20.82,45.5,"M","A.inodorus","AI","A.inodorus"
"K52",0.400139305360671,-0.960112037441737,"K52","K52",20.82,42.5,"F","A.inodorus","AI","A.inodorus"
"K53",-0.169533518968312,2.04726162011204,"K53","K53",20.82,49,"F","A.inodorus","AI","A.inodorus"
"K54",-0.0128745370886369,0.136012620788684,"K54","K54",20.82,53.5,"M","A.inodorus","AI","A.inodorus"
"K55",-0.190167997100725,-1.24187340643713,"K55","K55",18.5,51,"F","HYBRID?","AI","A.inodorus"
"K56",0.251706525253524,-0.419506337801051,"K56","K56",20.82,41.6,"F","A.inodorus","AI","A.inodorus"
"K57",-0.42586065191821,1.66836608578067,"K57","K57",20.82,49.9,"F","A.inodorus","AI","A.inodorus"
"K59",0.145974249055857,-1.10895557727338,"K59","K59",20.82,51.2,"J","A.coronus","AC","Hybrid"
"K6",0.0408266172858802,0.164632718699074,"K6","K6",20.82,45,"F","A.inodorus","AI","A.inodorus"
"K60",-0.274688064473686,-1.38919601044389,"K60","K60",20.82,45.6,"F","A.inodorus","AI","A.inodorus"
"K61",-0.313385352316775,-0.748806950393759,"K61","K61",20.82,51.7,"M","A.inodorus","AI","Hybrid"
"K62",0.34129230075301,0.380629046717321,"K62","K62",20.82,54,"J","A.coronus","AC","A.coronus"
"K63",-0.0822396883850114,-1.65796769911183,"K63","K63",20.82,52.4,"M","A.inodorus","AI","A.inodorus"
"K64",0.54686496000086,-0.540602946709252,"K64","K64",20.82,40.5,"F","A.inodorus","AI","A.inodorus"
"K66",-0.368213189603602,-1.35138823913342,"K66","K66",20.82,55.2,"F","A.inodorus","AI","A.inodorus"
"K68",-0.132984441391383,-0.810875945984516,"K68","K68",NA,53,"U","A.inodorus","AI","A.inodorus"
"K69",-0.0276913756567358,-1.66758669883517,"K69","K69",NA,53,"U","A.inodorus","AI","A.inodorus"
"K7",0.340053314682181,0.871304371697057,"K7","K7",20.82,48.5,"M","A.coronus","AC","A.coronus"
"K70",0.0935909023828252,-3.0398281960621,"K70","K70",NA,52,"U","A.inodorus","AI","A.inodorus"
"K71",0.487936794007669,0.939354474679286,"K71","K71",NA,47,"U","A.inodorus","AI","A.inodorus"
"K72",-0.0713332965226575,0.029239256159188,"K72","K72",NA,47,"U","A.inodorus","AI","A.inodorus"
"K73",0.0489438344718558,0.473189562491652,"K73","K73",NA,52.5,"U","A.inodorus","AI","A.inodorus"
"K74",0.164998062072994,-1.50057312891814,"K74","K74",NA,48.5,"U","A.inodorus","AI","A.inodorus"
"K75",0.162865987489252,0.240973516374543,"K75","K75",NA,62,"U","A.inodorus","AI","A.inodorus"
"K76",-0.345233445790364,1.66229432711995,"K76","K76",NA,43.5,"U","A.inodorus","AI","A.inodorus"
"K77",-0.233862585621645,-0.776517885661495,"K77","K77",NA,43.5,"U","A.inodorus","AI","A.inodorus"
"K8",-0.0249773058222956,-1.30703146240332,"K8","K8",20.82,44,"M","A.inodorus","AI","A.inodorus"
"K80",0.00528945369007072,1.62448960353145,"K80","K80",NA,51,"","A.coronus","AC","A.coronus"
"K81",0.133671266897317,-1.37900534285954,"K81","K81",NA,68,"","A.inodorus","AI","Hybrid"
"K82",-0.216474474588149,-0.0960362861280386,"K82","K82",NA,60,"","A.inodorus","AI","A.inodorus"
"K83",-0.257473264221408,0.385488173370914,"K83","K83",20.82,37.9,"J","A.inodorus","AI","A.inodorus"
"K84",-0.282288215275697,-0.649852873318796,"K84","K84",20.82,56.7,"M","A.inodorus","AI","A.inodorus"
"K88",0.0744177916754354,-0.911739803277696,"K88","K88",20.82,55,"M","A.inodorus","AI","A.inodorus"
"K89",0.64617716242441,-0.13769474532498,"K89","K89",20.82,53.4,"J","A.coronus","AC","A.coronus"
"K9",-0.236324876453753,1.28759343092031,"K9","K9",20.82,48.5,"F","A.inodorus","AI","A.inodorus"
"K90",-0.468947231705696,1.70274371248132,"K90","K90",20.82,53,"M","A.inodorus","AI","A.inodorus"
"K92",-0.0997325372284125,-1.10559392373214,"K92","K92",20.82,60.1,"F","A.inodorus","AI","Hybrid"
"K93",-0.25206654520125,-0.657088790453487,"K93","K93",20.82,49.7,"F","HYBRID?","AI","A.inodorus"
"K95",0.146391774852819,0.180168871668965,"K95","K95",21.88,34.2,"F","A.inodorus","AI","A.inodorus"
"K96",0.151105779140718,-1.78402443780331,"K96","K96",20.82,55,"M","A.inodorus","AI","A.inodorus"
"K97",-0.08217692209,0.99214362451038,"K97","K97",20.82,50.9,"F","A.inodorus","AI","A.inodorus"
